ACGME-Accredited Specialties,Description of Experience,Number,Average,Standard Deviation,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Anesthesiology,Number of research experiences,"1,797",3.2,2.3,1.0,2.0,3.0,4.0,6.0
Anesthesiology,"Number of abstracts, presentations, and publications","1,797",6.4,7.9,0.0,2.0,4.0,8.0,14.4
Anesthesiology,Number of work experiences,"1,797",3.8,2.4,1.0,2.0,3.0,5.0,7.0
Anesthesiology,Number of volunteer experiences,"1,797",7.6,3.9,3.0,5.0,7.0,10.0,12.0
Child Neurology,Number of research experiences,174,3.1,1.9,1.0,2.0,3.0,4.0,5.0
Child Neurology,"Number of abstracts, presentations, and publications",174,7.0,7.9,0.0,2.0,4.0,9.0,15.0
Child Neurology,Number of work experiences,174,3.9,3.0,1.0,2.0,3.0,5.0,8.0
Child Neurology,Number of volunteer experiences,174,7.6,4.4,2.0,5.0,7.0,10.0,13.0
Emergency Medicine,Number of research experiences,"2,803",2.5,2.0,0.0,1.0,2.0,4.0,5.0
Emergency Medicine,"Number of abstracts, presentations, and publications","2,803",4.7,7.1,0.0,1.0,3.0,6.0,11.0
Emergency Medicine,Number of work experiences,"2,803",4.2,2.7,1.0,2.0,4.0,5.0,7.0
Emergency Medicine,Number of volunteer experiences,"2,803",7.8,4.3,3.0,5.0,7.0,10.0,13.0
Family Medicine,Number of research experiences,"4,792",1.8,1.7,0.0,1.0,2.0,3.0,4.0
Family Medicine,"Number of abstracts, presentations, and publications","4,792",3.4,5.1,0.0,0.0,2.0,5.0,9.0
Family Medicine,Number of work experiences,"4,792",4.3,3.4,1.0,2.0,4.0,5.0,8.0
Family Medicine,Number of volunteer experiences,"4,792",7.0,4.4,2.0,4.0,6.0,9.0,13.0
Internal Medicine,Number of research experiences,"9,313",2.6,2.2,0.0,1.0,2.0,4.0,5.0
Internal Medicine,"Number of abstracts, presentations, and publications","9,313",5.9,7.8,0.0,1.0,4.0,8.0,14.0
Internal Medicine,Number of work experiences,"9,313",4.5,3.2,1.0,2.0,4.0,6.0,9.0
Internal Medicine,Number of volunteer experiences,"9,313",6.4,4.0,2.0,4.0,6.0,8.0,11.0
Internal Medicine (preliminary),Number of research experiences,"1,773",4.1,3.0,1.0,2.0,4.0,5.0,8.0
Internal Medicine (preliminary),"Number of abstracts, presentations, and publications","1,773",11.3,12.3,1.0,3.0,7.0,15.0,26.8
Internal Medicine (preliminary),Number of work experiences,"1,773",4.0,2.9,1.0,2.0,3.0,5.0,8.0
Internal Medicine (preliminary),Number of volunteer experiences,"1,773",7.8,4.5,3.0,5.0,7.0,10.0,13.0
Internal Medicine/Pediatrics,Number of research experiences,375,3.2,2.1,1.0,2.0,3.0,4.0,6.0
Internal Medicine/Pediatrics,"Number of abstracts, presentations, and publications",375,6.6,6.8,1.0,2.0,5.0,9.0,13.0
Internal Medicine/Pediatrics,Number of work experiences,375,4.2,2.7,1.0,2.0,4.0,6.0,8.0
Internal Medicine/Pediatrics,Number of volunteer experiences,375,9.8,4.6,4.0,7.0,10.0,13.0,15.0
Neurological Surgery,Number of research experiences,235,5.9,3.1,3.0,4.0,5.0,7.0,10.0
Neurological Surgery,"Number of abstracts, presentations, and publications",235,29.1,25.0,8.0,13.5,23.0,37.5,54.0
Neurological Surgery,Number of work experiences,235,3.8,2.4,1.0,2.0,3.0,5.0,7.0
Neurological Surgery,Number of volunteer experiences,235,7.4,4.3,3.0,4.0,7.0,9.0,12.0
Neurology,Number of research experiences,975,3.3,2.3,1.0,2.0,3.0,4.0,6.0
Neurology,"Number of abstracts, presentations, and publications",975,8.4,11.1,0.0,2.0,5.0,11.0,19.0
Neurology,Number of work experiences,975,4.2,3.0,1.0,2.0,4.0,5.0,8.0
Neurology,Number of volunteer experiences,975,6.6,4.1,2.0,4.0,6.0,9.0,12.0
Obstetrics and Gynecology1,Number of research experiences,"1,472",3.9,2.2,1.0,2.0,4.0,5.0,7.0
Obstetrics and Gynecology1,"Number of abstracts, presentations, and publications","1,472",6.9,7.1,1.0,2.8,5.0,9.0,14.0
Obstetrics and Gynecology1,Number of work experiences,"1,472",4.0,2.4,1.0,2.0,4.0,5.0,7.0
Obstetrics and Gynecology1,Number of volunteer experiences,"1,472",10.0,4.4,5.0,7.0,10.0,12.0,15.0
